"id","applicabilité"
"2c90f58962265e150162520dfe7c6281","Pour information"
"4028807d16245e4d01162524e20d6b91","Applicable"
"4028807d16245e4d01162524db946b37","Applicable"
"4028807d16245e4d01162524de2f6b5b","Applicable"
"4028807d16245e4d01162524df706b6d","Applicable"
"4028807d16245e4d01162524e0ba6b7f","Applicable"
"4028807d16245e4d01162524e7276bd9","Applicable"
"4028807d16245e4d01162524ec3c6c21","Pour information"
"d37394c5272f761f01273d899b5811d1","Pour information"
"4028807d16245e4d01162524eec86c45","Pour information"
"4028807d16245e4d01162524e48d6bb5","Applicable"
"4028807d16245e4d01162524e5e76bc7","Pour information"
"4028807d16245e4d01162524ed896c33","Applicable"
"4028807d16245e4d01162524f15c6c69","Pour information"
"4028807d16245e4d01162524e9ba6bfd","Applicable"
"4028807d16245e4d01162524f00a6c57","Applicable"
"4028807d16245e4d01162524e34f6ba3","Pour information"
