"aide","enonce_groupe","enonce_site","type","unite","id"
"NULL","Intervenez-vous (vos salariés) sur des matériaux amiantés (travaux de maintenance de bâtiments ou de machines pouvant contenir de l'amiante...) ?","Intervenez-vous (vos salariés) sur des matériaux amiantés (travaux de maintenance de bâtiments ou de machines pouvant contenir de l'amiante...) ?","1","NULL","006F52E9102A8D3BE2FE5614F42BA989"
"NULL","De quelles sources (scellées, non scellées) ou appareils (accélérateurs de particules, générateurs de rayons X) s'agit-il?","De quelles sources (scellées, non scellées) ou appareils (accélérateurs de particules, générateurs de rayons X) s'agit-il?","0","NULL","01161AAA0B6D1345DD8FE4E481144D84"
"NULL","NULL","Le site est-il localisé sur une zone sismique ? Merci de préciser le type de classe.","1","NULL","013D407166EC4FA56EB1E1F8CBE183B9"
"NULL","Etes-vous soumis ou avez-vous un plan de prévention des risques naturels (PPRN) ?","Etes-vous soumis ou avez-vous un plan de prévention des risques naturels (PPRN) ?","1","NULL","02522A2B2726FB0A03BB19F2D8D9524D"
"NULL","NULL","Plans et localisation des bâtiments communiqués à Tennaxia","0","NULL","0266E33D3F546CB5436A10798E657D97"
"NULL","Effectuez-vous des opérations de chargement / déchargement / transport de matières dangereuses sur l'un de vos sites ?","Effectuez-vous des opérations de chargement / déchargement / transport de matières dangereuses sur le site ?","1","NULL","02E74F10E0327AD868D138F2B4FDD6F0"
"NULL","Quels sont les numéros des tableaux de maladie professionnelle concernés ?","Quels sont les numéros des tableaux de maladie professionnelle concernés ?","0","NULL","0336DCBAB05B9D5AD24F4333C7658A0E"
"NULL","NULL","Listez l'ensemble des arrêtés préfectoraux d'autorisation d'exploiter et des arrêtés complémentaires applicables à votre site et/ou les récépissés de déclaration.\nMerci d'indiquer en commentaire le libellé et la date de chaque texte.","0","NULL","03AFDBD66E7929B125F8597834FA83A4"
"Vous pouvez renseigner ces informations dans un fichier Excel comportant, en ligne, la liste des informations demandées et, une colonne pour chaque bâtiment et mettre ce fichier en pièce jointe de votre réponse.\nLe cas échéant, indiquer la date de dépôt de la demande de permis de construire ou de la déclaration préalable.","Merci de joindre un fichier Excel avec l'ensemble des informations suivantes sur l'historique des différents bâtiments :\n - date(s) d'achat\n - date(s) de construction\n - date(s) des éventuels travaux d'extension\n - date(s) des éventuels travaux de rénovation importants (nécessitant un permis de construire ou une déclaration préalable)","Merci de joindre un fichier Excel avec l'ensemble des informations suivantes sur l'historique, l'usage et la superficie de chaque bâtiment :\nHistorique des différents bâtiments\n - date(s) d'achat\n - date(s) de construction\n - date(s) des éventuels travaux d'extension\n - date(s) des éventuels travaux de rénovation importants (nécessitant un permis de construire ou une déclaration préalable)\n\nUsage des différents bâtiments\n - Bureaux ?\n - Industriel ?\n - Commercial ?\n - Locaux techniques ?\n - ERP ?\n - Autre ?\n\n Superficie des différents bâtiments\n","0","NULL","03C6B06952C750899BB03D998E631860"
"Moteurs électriques, lampes, circulateurs, transformateurs, climatiseurs, appareils de chauffage ou de refroidissement, appareils ménagers...","NULL","Faites-vous de la mise sur le marché et/ou mise en service de produits consommateurs d'énergie ?\nSi oui, précisez lesquels dans le champ commentaire.","1","NULL","042F2AFDAD0611E7B3CE001851D17886"
